문화재명,시군구,,,,
 경기상업고등학교 본관 및 청송관,종로구,,,,
 계동 배렴 가옥,종로구,,,,
 구 공간사옥,종로구,,,,
 구 신촌역사,서대문구,,,,
 기상관측소,종로구,,,,
 김창숙 묘소,강북구,,,,
 누하동 이상범 가옥과 화실,종로구,,,,
 돈암장,성북구,,,,
 동관왕묘,종로구,,,,
 동선동 권진규 아틀리에,성북구,,,,
 명륜동 장면 가옥,종로구,,,,
 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>,종로구,,,,
 방학동 전형필 가옥,도봉구,,,,
 배화학원 캐롤라이나관,종로구,,,,
 보타사 마애보살좌상,성북구,,,,
 북한산 구기동 마애여래좌상,종로구,,,,
 북한산 신라 진흥왕 순수비,용산구,,,,
 살곶이 다리,성동구,,,,
 삼천사지 마애여래입상,은평구,,,,
 서교동 최규하 가옥,마포구,,,,
 성북동 최순우 가옥,성북구,,,,
 세종 영릉 신도비,동대문구,,,,
 손병희 묘소,강북구,,,,
 숭례문,중구,,,,
 신당동 박정희 가옥,중구,,,,
 신익희 묘소,강북구,,,,
 안창호 묘소,강남구,,,,
 여운형 묘소,강북구,,,,
 옥천암 마애보살좌상,서대문구,,,,
 원각사지 대원각사비,종로구,,,,
 원각사지 십층석탑,종로구,,,,
 원서동 고희동 가옥,종로구,,,,
 이시영 묘소,강북구,,,,
 이윤탁 한글영비,노원구,,,,
 이준 묘소,강북구,,,,
 이화여자대학교 토마스홀,서대문구,,,,
 인조별서 유기비,은평구,,,,
 창녕위궁 재사,강북구,,,,
 창의문,종로구,,,,
 태종 헌릉 신도비,서초구,,,,
 평창동 박종화 가옥,종로구,,,,
 해병대사령부 초대교회,용산구,,,,
 홍제동 오층석탑,용산구,,,,
 홍지동 이광수 별장 터,종로구,,,,
 홍파동 홍난파 가옥,종로구,,,,
 흥인지문,종로구,,,,
 흥천사 대방,성북구,,,,
개성 경천사지 십층석탑,용산구,,,,
개성 남계원지 칠층석탑,용산구,,,,
경복궁 ,종로구,,,,
경주 방형대좌 석조여래좌상,종로구,,,,
괴산 외사리 승탑,성북구,,,,
김천 갈항사지 동·서 삼층석탑,용산구,,,,
남양주 봉인사 부도암지 사리탑 및 사리장엄구,용산구,,,,
덕수궁 ,중구,,,,
만해 한용운 심우장,성북구,,,,
망우 독립유공자 묘역 ,중랑구,,,,
문경 오층석탑,성북구,,,,
봉화 태자사 낭공대사탑비,용산구,,,,
사직단 대문,종로구,,,,
양평 보리사지 대경대사탑비,용산구,,,,
여주 고달사지 쌍사자 석등,용산구,,,,
원주 거돈사지 원공국사탑,용산구,,,,
원주 영전사지 보제존자탑,용산구,,,,
원주 흥법사지 진공대사탑 및 석관,용산구,,,,
의정부지,종로구,,,,
전 양평 보리사지 대경대사탑,서대문구,,,,
전 원주 흥법사지 염거화상탑,용산구,,,,
제천 월광사지 원랑선사탑비,용산구,,,,
종묘 ,종로구,,,,
창경궁 ,종로구,,,,
창덕궁 ,종로구,,,,
창원 봉림사지 진경대사탑/진경대사탑비,용산구,,,,
충주 정토사지 홍법국사탑,용산구,,,,
충주 정토사지 홍법국사탑비,용산구,,,,
경운궁,종로구,,,,
경희궁,종로구,,,,
정릉,성북구,,,,
의릉,성북구,,,,
태릉과 강릉,노원구,,,,
선릉과 정릉,강남구,,,,
